date,equity
2012/1/3,21500
2012/1/4,21500
2012/1/5,21500
2012/1/6,21500
2012/1/9,21500
2012/1/10,21500
2012/1/11,21500
2012/1/12,21500
2012/1/13,21500
2012/1/17,21500
2012/1/18,21500
2012/1/19,21500
2012/1/20,21500
2012/1/23,21500
2012/1/24,21500
2012/1/25,21500
2012/1/26,21500
2012/1/27,21500
2012/1/30,21500
2012/1/31,21500
2012/2/1,23000
2012/2/2,23000
2012/2/3,23000
2012/2/6,23000
2012/2/7,23000
2012/2/8,23000
2012/2/9,23000
2012/2/10,23000
2012/2/13,23000
2012/2/14,23000
2012/2/15,23000
2012/2/16,23000
2012/2/17,23000
2012/2/21,23000
2012/2/22,23000
2012/2/23,23000
2012/2/24,23000
2012/2/27,23000
2012/2/28,23000
2012/2/29,23000
2012/3/1,24500
2012/3/2,24500
2012/3/5,24500
2012/3/6,24500
2012/3/7,24500
2012/3/8,24500
2012/3/9,24500
2012/3/12,24500
2012/3/13,24500
2012/3/14,24500
2012/3/15,24500
2012/3/16,24500
2012/3/19,24500
2012/3/20,24500
2012/3/21,24500
2012/3/22,24500
2012/3/23,24500
2012/3/26,24500
2012/3/27,24500
2012/3/28,24500
2012/3/29,24500
2012/3/30,24500
2012/4/2,26000
2012/4/3,26000
2012/4/4,26000
2012/4/5,26000
2012/4/9,26000
2012/4/10,26000
2012/4/11,26034.98013
2012/4/12,26084.63145
2012/4/13,25998.53882
2012/4/16,25925.63757
2012/4/17,26052.5658
2012/4/18,26049.72581
2012/4/19,25981.19982
2012/4/20,25958.57261
2012/4/23,25896.97318
2012/4/24,25833.93346
2012/4/25,26049.88665
2012/4/26,26083.91182
2012/4/27,26107.50093
2012/4/30,26101.78991
2012/5/1,27613.1733
2012/5/2,27623.81641
2012/5/3,27598.3704
2012/5/4,27390.74064
2012/5/7,27451.75957
2012/5/8,27421.65932
2012/5/9,27417.07043
2012/5/10,27383.3206
2012/5/11,22414.80875
2012/5/14,22273.11045
2012/5/15,22230.11215
2012/5/16,22124.10868
2012/5/17,21830.10882
2012/5/18,21650.1087
2012/5/21,22012.11508
2012/5/22,21995.11345
2012/5/23,22021.11042
2012/5/24,21937.11022
2012/5/25,21911.11353
2012/5/29,22081.11037
2012/5/30,21966.11183
2012/5/31,21900.11204
2012/6/1,23042.10881
2012/6/4,23132.10886
2012/6/5,23191.11031
2012/6/6,23488.1151
2012/6/7,23436.11201
2012/6/8,23571.11681
2012/6/11,23345.11345
2012/6/12,23487.11661
2012/6/13,23396.10861
2012/6/14,23447.1135
2012/6/15,23617.11033
2012/6/18,23740.11486
2012/6/19,23901.11414
2012/6/20,23919.11491
2012/6/21,23539.11183
2012/6/22,23685.11776
2012/6/25,23398.11725
2012/6/26,23486.11086
2012/6/27,23571.119
2012/6/28,23401.1125
2012/6/29,23846.11037
2012/7/2,25386.11383
2012/7/3,25506.11425
2012/7/5,25524.11424
2012/7/6,25320.11418
2012/7/9,25303.11284
2012/7/10,25151.11585
2012/7/11,25085.11577
2012/7/12,24948.11425
2012/7/13,25148.1112
2012/7/16,25112.11095
2012/7/17,25185.11911
2012/7/18,25382.11084
2012/7/19,25546.11726
2012/7/20,25346.11116
2012/7/23,25161.11913
2012/7/24,25051.11959
2012/7/25,24946.12915
2012/7/26,25126.12758
2012/7/27,25488.10578
2012/7/30,25457.1223
2012/7/31,25460.11921
2012/8/1,26910.12445
2012/8/2,26857.12412
2012/8/3,27142.12769
2012/8/6,27261.13084
2012/8/7,27395.12711
2012/8/8,27386.12296
2012/8/9,27433.12462
2012/8/10,27456.12686
2012/8/13,27490.12975
2012/8/14,27498.12688
2012/8/15,27538.13028
2012/8/16,27742.1298
2012/8/17,27823.12536
2012/8/20,27846.12684
2012/8/21,27777.13156
2012/8/22,27841.1252
2012/8/23,27708.12712
2012/8/24,27812.12358
2012/8/27,27841.1252
2012/8/28,27840.21243
2012/8/29,27842.26623
2012/8/30,27659.45114
2012/8/31,27783.44051
2012/9/4,29258.4718
2012/9/5,29231.48617
2012/9/6,29620.45244
2012/9/7,29593.46492
2012/9/10,29363.48901
2012/9/11,29337.49332
2012/9/12,29389.48685
2012/9/13,29630.48437
2012/9/14,29791.48579
2012/9/17,29803.48738
2012/9/18,29815.48715
2012/9/19,29858.48548
2012/9/20,29843.4903
2012/9/21,29843.4903
2012/9/24,29723.49041
2012/9/25,29467.48723
2012/9/26,29306.48545
2012/9/27,29559.49372
2012/9/28,29410.49222
2012/10/1,30884.48552
2012/10/2,30923.49184
