date,equity,coreValue,cashValue,wheelValue,leapsValue
2012-01-03,100000,50000,10000,32000,8000
2012-01-04,100308.95491386167,50210.89442647939,10000,32000,8098.060487382284
2012-01-05,100917.39752785962,50623.90076048569,10000,32000,8293.496767373927
2012-01-06,101174.91840431963,50799.648350622825,10000,32000,8375.270053696806
2012-01-09,100917.30489313627,50632.68663154464,10000,32000,8284.618261591633
2012-01-10,101463.0354164555,51001.75690604327,10000,32000,8461.27851041223
2012-01-11,101616.54062535086,51107.204119282964,10000,32000,8509.336506067886
2012-01-12,101913.13083332306,51309.31267470341,10000,32000,8603.818158619642
2012-01-13,101635.45147669321,51124.779213507325,10000,32000,8510.672263185887
2012-01-17,102316.50453152721,51590.50747808024,10000,32000,8725.997053446976
2012-01-18,103341.40651003551,52275.92274440443,10000,32000,9065.483765631068
2012-01-19,103822.72226795243,52601.05360728893,10000,32000,9221.668660663508
2012-01-20,103699.59235840641,52521.967359332535,10000,32000,9177.624999073867
2012-01-23,103714.39945455565,52539.542453556896,10000,32000,9174.857000998752
2012-01-24,103561.8594600338,52442.88111137615,10000,32000,9118.978348657649
2012-01-25,104551.34860813072,53101.932060310566,10000,32000,9449.416547820165
2012-01-26,104270.45406879,52917.39859911448,10000,32000,9353.055469675523
2012-01-27,104504.15881194778,53075.571095027255,10000,32000,9428.587716920516
2012-01-30,104544.27192884676,53119.50715453492,10000,32000,9424.764774311849
2012-01-31,104646.27128068967,53189.804179325896,10000,32000,9456.46710136377
2012-02-01,106785.1943251442,54370.38560755656,10150,32480,9784.80871758764
2012-02-02,107043.15564535612,54539.679257533244,10150,32480,9873.47638782287
2012-02-03,108206.73924989253,55288.140939997866,10150,32480,10288.59830989467
2012-02-06,108123.75584161501,55243.59033726644,10150,32480,10250.165504348568
2012-02-07,108299.18367563849,55359.42462356265,10150,32480,10309.759052075833
2012-02-08,108752.51296020084,55653.46132078458,10150,32480,10469.05163941626
2012-02-09,109375.5893308072,56054.42354335369,10150,32480,10691.16578745351
2012-02-10,108761.06630933989,55662.37348072674,10150,32480,10468.692828613159
2012-02-13,109556.36931594377,56179.166590598936,10150,32480,10747.202725344832
2012-02-14,109775.1794434202,56321.730558735384,10150,32480,10823.44888468482
2012-02-15,109159.61854772244,55929.680496108434,10150,32480,10599.938051614003
2012-02-16,110359.12042320463,56695.96309946426,10150,32480,11033.15732374038
2012-02-17,110075.90158087533,56517.75728954542,10150,32480,10928.144291329903
2012-02-21,110310.26817947338,56678.14217857306,10150,32480,11002.126000900322
2012-02-22,109873.23681531932,56419.7439241404,10150,32480,10823.492891178912
2012-02-23,110454.75192239051,56793.97646486927,10150,32480,11030.77545752123
2012-02-24,110758.00653139495,56989.99979668619,10150,32480,11138.006734708746
2012-02-27,110865.78137077682,57070.195640193124,10150,32480,11165.585730583696
2012-02-28,111776.64366550089,57649.35687469484,10150,32480,11497.286790806047
2012-02-29,111357.1398072518,57390.96541824841,10150,32480,11336.174389003394
2012-03-01,113570.7480123542,58595.383605504874,10300,32960,11715.364406849327
2012-03-02,113478.28049258815,58550.258820623145,10300,32960,11668.021671965002
2012-03-05,112496.73554781963,57945.526105297606,10300,32960,11291.209442522015
2012-03-06,111579.2750142431,57376.90423567933,10300,32960,10942.370778563765
2012-03-07,112282.37907035371,57819.16568982688,10300,32960,11203.21338052683
2012-03-08,113277.7415074801,58441.946941879876,10300,32960,11575.794565600223
2012-03-09,113654.13694974162,58685.64006139451,10300,32960,11708.496888347105
2012-03-12,113681.34648280087,58712.72319567497,10300,32960,11708.6232871259
2012-03-13,115451.28842623185,59804.84215002978,10300,32960,12386.446276202068
2012-03-14,115774.10178204447,60012.43130996332,10300,32960,12501.67047208115
2012-03-15,116022.60943928684,60183.92339644196,10300,32960,12578.686042844864
2012-03-16,115780.88629255403,60039.50755811759,10300,32960,12481.378734436443
2012-03-19,116455.80406588652,60463.72047553768,10300,32960,12732.083590348844
2012-03-20,116614.139237458,60572.03235428096,10300,32960,12782.106883177034
2012-03-21,116623.63994009336,60581.060065707774,10300,32960,12782.579874385583
2012-03-22,116412.46079169448,60454.699650237046,10300,32960,12697.761141457437
2012-03-23,116337.74962259909,60418.59569065596,10300,32960,12659.153931943129
2012-03-26,118056.07782660602,61474.61068542968,10300,32960,13321.467141176347
2012-03-27,118197.4139425081,61564.867141319315,10300,32960,13372.546801188771
2012-03-28,117791.68884316915,61321.17402180468,10300,32960,13210.514821364468
2012-03-29,117403.50607653399,61086.50172759068,10300,32960,13057.004348943297
2012-03-30,117207.2686938952,60969.169023546776,10300,32960,12978.099670348423
2012-04-02,119728.57176489485,62350.97110090041,10450,33440,13487.600663994433
2012-04-03,119691.59111512327,62332.702820842555,10450,33440,13468.888294280714
2012-04-04,118284.82285747804,61483.08491385583,10450,33440,12911.737943622215
2012-04-05,118916.3672679583,61866.78152476192,10450,33440,13159.585743196374
2012-04-09,118123.96819244529,61400.86022868128,10450,33440,12833.107963764005
2012-04-10,116503.58309560797,60414.20582638076,10450,33440,12199.377269227214
2012-04-11,117092.29160272062,60706.54709706621,10450,33553.56657351594,12382.177932138467
2012-04-12,118396.50799158543,61400.86022868128,10450,33714.764626847,12830.883136057148
2012-04-13,116583.83093615403,60469.0246064857,10450,33435.25613276044,12229.550196907887
2012-04-16,115227.38920107938,59792.97975492848,10450,33198.57477452963,11785.834671621264
2012-04-17,117648.29098270215,61008.02599276343,10450,33610.66021493773,12579.604775000995
2012-04-18,117374.61783133986,60852.72121739178,10450,33601.43991604805,12470.456697900026
2012-04-19,116025.3260245796,60167.54571078848,10450,33378.963300262,12028.817013529113
2012-04-20,115653.12630912957,60003.10331040506,10450,33305.50175728612,11894.52124143839
2012-04-23,114540.78623690679,59454.964299115556,10450,33105.512936898886,11530.309000892352
2012-04-24,113810.43082960091,59135.21712336048,10450,32900.84805865281,11324.36564758762
2012-04-25,117109.85622334623,60706.54709706621,10450,33601.962085691215,12351.3470405888
2012-04-26,117800.98429985477,61062.83780290268,10450,33712.428274475606,12575.718222476487
2012-04-27,118476.54206771441,61428.266133750905,10450,33789.01272482943,12809.263209134075
2012-04-30,117718.50585127252,60989.75771270558,10450,33770.471325583254,12508.27681298367
2012-05-01,119415.04522395498,61840.250677937984,10600,34287.428670952824,12687.36587506416
2012-05-02,119729.0640500035,62015.9546755412,10600,34321.98259168319,12791.126782779096
2012-05-03,118579.01649299372,61359.35949741195,10600,34239.36953670292,12380.287458878856
2012-05-04,115465.33125354286,59833.46591601013,10600,33565.27833653626,11466.587000996464
2012-05-07,115735.30389540286,59888.9577017849,10600,33763.382524695895,11482.963668922066
2012-05-08,115275.93020881542,59667.004669756556,10600,33665.65898920838,11343.266549850481
2012-05-09,114956.36324108251,59482.05086526831,10600,33650.76069302507,11223.551682789128
2012-05-10,114646.1506842559,59361.8315979045,10600,33541.18842294616,11143.130663405245
2012-05-11,98493.44966938482,59352.58179101947,10600,17410.40820238531,11130.459675980033
2012-05-14,97127.44536974624,58797.713322019365,10600,16950.37022756746,10779.361820159425
2012-05-15,96658.26688442915,58603.50618287841,10600,16810.77185741942,10643.988844131323
2012-05-16,95678.4145661174,58205.84915324685,10600,16466.62079271081,10405.944620159748
2012-05-17,92794.5866946611,56975.88942011513,10600,15512.120274391484,9706.577000154482
2012-05-18,91053.18531034385,56236.063618859094,10600,14927.731553805392,9289.390137679347
2012-05-21,94716.5877682656,57808.192123615285,10600,16103.022159994736,10205.373484655569
2012-05-22,94542.41740778525,57743.45758649086,10600,16047.824641176072,10151.13518011831
2012-05-23,94794.73930454745,57854.43410250504,10600,16132.226458906236,10208.078743136168
2012-05-24,93918.85628790113,57475.27315887584,10600,15859.51122775519,9984.071901270081
2012-05-25,93710.55356617895,57401.28881486639,10600,15775.11033978675,9934.154411525808
2012-05-29,95401.15120571548,58131.868337005086,10600,16327.022390542206,10342.260478168186
2012-05-30,94238.08547915332,57641.734405129406,10600,15953.66793539537,10042.683138628548
2012-05-31,93601.18468772325,57392.04253574905,10600,15739.392876019712,9869.749275954475
2012-06-01,91577.34089706458,56616.14895434723,10750,15057.098878560688,9154.093064156668
2012-06-04,92492.99348110904,57047.25931275063,10750,15349.293239090024,9346.44092926838
2012-06-05,93027.7569472853,57281.558886899584,10750,15540.847447493676,9455.350612892038
2012-06-06,95963.77739659252,58593.637932184814,10750,16505.103791890768,10115.03567251693
2012-06-07,95438.8928864639,58359.338358035864,10750,16336.270434459411,9993.284093968632
2012-06-08,96718.9390809443,58921.65590594223,10750,16774.577301447804,10272.705873554269
2012-06-11,94487.00045067148,57928.227999632465,10750,16040.834351600926,9767.938099438092
2012-06-12,96000.26556220271,58631.126722079316,10750,16501.862069561615,10117.276770561773
2012-06-13,95094.45809966944,58228.1311685329,10750,16206.39533431435,9909.931596822193
2012-06-14,95567.98596007633,58443.6863477346,10750,16371.987898276822,10002.311714064912
2012-06-15,97004.07777004932,59034.12227562573,10750,16923.899948986964,10296.055545436624
2012-06-18,98224.97581976463,59587.06941362236,10750,17323.24670096853,10564.659705173735
2012-06-19,99678.95815511399,60205.6165712427,10750,17845.947259560617,10877.39432431066
2012-06-20,99792.70491324173,60252.47934617472,10750,17904.38860629521,10885.83696077181
2012-06-21,96313.8575231121,58752.95992654477,10750,16670.669864691034,10140.22773187629
2012-06-22,97714.2168535169,59371.510659292886,10750,17144.69298570079,10448.013208523216
2012-06-25,95056.76468917813,58228.1311685329,10750,16212.916589926486,9865.71693071874
2012-06-26,95880.34577463049,58593.637932184814,10750,16498.596816777834,10038.111025667842
2012-06-27,96682.13019075988,58949.77428592699,10750,16774.58439217895,10207.771512653937
2012-06-28,95145.6938272308,58293.73476328438,10750,16222.640959938055,9879.318104008355
2012-06-29,99370.64251292526,60130.646141709265,10750,17667.37190693624,10822.62446427975
2012-07-02,101252.346524664,61058.70895588869,10900,18277.247233633345,11016.390335141954
2012-07-03,102432.18733641447,61571.09061119451,10900,18666.84081814596,11294.255907073992
2012-07-05,102539.41178827459,61609.04561223675,10900,18725.27963489321,11305.086541144645
2012-07-06,100682.20706035328,60840.47674886613,10900,18062.972644623645,10878.757666863505
2012-07-09,100436.29122477835,60726.61174573942,10900,18007.77606084885,10801.903418190093
2012-07-10,99007.11726747485,60128.83314788262,10900,17514.302325031204,10463.981794561034
2012-07-11,98276.35261534051,59796.73593773336,10900,17300.026336796476,10279.590340810673
2012-07-12,96971.76343885095,59236.9123409188,10900,16855.23695401009,9979.614143922052
2012-07-13,99002.10694350218,60138.32370793724,10900,17504.547434516768,10459.23580104817
2012-07-16,98601.6735206561,59967.529822835306,10900,17387.668947216822,10346.474750603978
2012-07-17,99315.13409754891,60280.649532463445,10900,17624.697367674384,10509.787197411091
2012-07-18,101197.03313995637,61096.66395693092,10900,18264.25109994456,10936.1180830809
2012-07-19,102772.55778290071,61770.34893728407,10900,18796.714674400337,11305.494171216294
2012-07-20,100859.40324357114,60954.3345128166,10900,18147.374470365143,10857.694260389406
